threshold,precision,recall,f1,positive_rate,model
0.1,0.0830379491659247,0.9955689828801612,0.15329033058363828,0.9678714859437751,logreg
0.2,0.09436065958570507,0.9716012084592145,0.17201540436456997,0.8312277449880494,logreg
0.3,0.11313216536800834,0.9182275931520645,0.20144488876123987,0.6552200705656634,logreg
0.4,0.13663160715482012,0.8215508559919436,0.23429736638042448,0.4854072159081671,logreg
0.5,0.16839705026198332,0.6990936555891238,0.2714157250654885,0.33513812334357673,logreg
0.6,0.2074136737675921,0.543202416918429,0.30020035618878005,0.21142058110986456,logreg
0.7,0.2581478822684853,0.362134944612286,0.30142497904442583,0.11324650830040811,logreg
0.1,0.08072776937710356,1.0,0.14939519768911355,1.0,tree
0.2,0.08091195019800206,1.0,0.14971052948980823,0.9977236882753687,tree
0.3,0.08926675696452759,0.9822759315206445,0.16366046410174667,0.8883143911679106,tree
0.4,0.11596908192238932,0.8884189325276939,0.20515801958094,0.618441376843406,tree
0.5,0.16805324459234608,0.6712990936555892,0.26881200096782,0.3224720745329496,tree
0.6,0.24674129734703265,0.32406847935548844,0.280167160020895,0.1060273482594345,tree
0.7,0.40093603744149764,0.05176233635448137,0.09168747770246165,0.010422255824919109,tree
