feature,importance
num__EXT_SOURCE_2,0.16469759120190136
num__EXT_SOURCE_3,0.15667604076127642
num__EXT_SOURCE_1,0.07179213478560197
num__bureau_avg_days_credit,0.05139435296553056
num__DAYS_BIRTH,0.03310802915156718
num__bureau_max_days_credit,0.03042390608515399
num__DAYS_EMPLOYED,0.028609433433003536
num__inst_late_payment_rate,0.02789790916152063
num__prev_approval_rate,0.02217666675928111
cat__NAME_EDUCATION_TYPE_Higher education,0.019258903321893703
num__inst_underpayment_rate,0.01914444768002859
num__prev_mean_down_payment,0.01867724939091682
num__DAYS_LAST_PHONE_CHANGE,0.016778549959585456
num__prev_refused_count,0.01635333774909489
num__bureau_total_debt_sum,0.015980175367971684
